Common	Scientific	Rating	Tag
Brazilian pepper	Schinus terebinthefolia	1	mis
Brazilian pepper	Schinus terebinthifolius	1	
	Schisandra	1	
Marula	Sclerocarya birrea	1	
Bamboo	Semiarundinaria	1	
Narihira bamboo	Semiarundinaria fastuosa	1	
Saw palmetto	Serenoa repens	1	
Buffaloberry	Shepherdia	1	
Tamarillo	Solanum betaceum	1	
Eggplant	Solanum melongena	1	
Pepino dulce	Solanum muricatum	1	
Garden Huckleberry	Solanum scabrum	1	
Potato	Solanum tuberosum	1	
European Rowan	Sorbus aucuparia	1	
True Service Tree	Sorbus domestica 	1	
Wild Service Tree	Sorbus torminalis	1	
Ambarella	Spondias dulcis	1	
Red-fruited kurrajong	Sterculia quadrifida	1	
 Spiny monkey-orange	Strychnos spinosa	1	
Licuri palm	Syagrus coronata	1	
Miracle fruit	Synsepalum dulcificum	1	
Brush cherry	Syzygium australe	1	
Jambul	Syzygium cumini	1	
Riberry	Syzygium luehmannii	1	
Blue lilly pilly	Syzygium oleosum	1	
Magenta lilly pilly	Syzygium paniculatum	1	
Java apple	Syzygium samarangense	1	
Tamarind	Tamarindus indica	1	
Chebulic myrobalan	Terminalia chebula	1	
Cacao	Theobroma cacao	1	
Cupuacu	Theobroma grandiflorum	1	
Small-leaved linden	Tilia cordata	1	
European linden	Tilia europaea	1	
Large-leaved linden	Tilia platyphyllos	1	
Chinese toon	Toona sinensis	1	
California nutmeg	Torreya californica	1	
Kaya	Torreya nucifera 	1	
Chilean guava	Ugni molinae	1	
California laurel	Umbellularia californica 	1	
	Vaccinium	1	
American cranberry	Vaccinium macrocarpon	1	
Thinleaf huckleberry	Vaccinium membranaceum	1	
Bilberry	Vaccinium myrtillus	1	
Evergreen huckleberry	Vaccinium ovatum	1	
Red huckleberry	Vaccinium parvifolium	1	
Lingonberry	Vaccinium vitis-idaea	1	
Spanish tamarind	Vangueria madagascariensis	1	
Nannyberry	Viburnum lentago	1	
American cranberrybush	Viburnum trilobum	1	
Chaste tree	Vitex agnus castus	1	mis
Chaste tree	Vitex agnus-castus	1	
African black plum	Vitex doniana	1	
Banana yucca	Yucca baccata	1	
Jujube	Ziziphus jujuba	1	
	Siraitia grosvenorii	1	
Wattle	Acacia	2	
Needle bush	Acacia farnesiana	2	syn
Mallee golden wattle	Acacia notabilis	2	
Golden wattle	Acacia pycnantha	2	
Swamp wattle	Acacia retinodes	2	
Cooba	Acacia salicina	2	
Shoestring acacia	Acacia stenophylla 	2	
Knife-leaf wattle	Acacia cultriformis	2	
Early black wattle	Acacia decurrens	2	
Bigleaf Maple	Acer macrophyllum	2	
Box elder	Acer negundo	2	
Red Maple	Acer rubrum	2	
Silver Maple	Acer saccharinum	2	
Creek lilly pilly	Acmena smithii	2	syn
Baobab	Adansonia	2	
	Aesculus	2	
Agave	Agave	2	
Titoki	Alectryon excelsus	2	
Native ginger	Alpinia caerulea	2	
Chinese angelica tree	Aralia chinensis	2	
Devils Walkingstick	Aralia spinosa	2	
Araucaria species	Araucaria	2	
Pacific madrone	Arbutus menziesii	2	
Betel nut palm	Areca catechu	2	
	Attalea	2	
	Balsamocitrus	2	
Cut nut	Barringtonia edulis	2	
Birch	Betula	2	
Yellow birch	Betula alleghaniensis	2	
Kenai birch	Betula kenaica	2	
Cherry birch	Betula lenta	2	
River birch	Betula nigra	2	
Water birch	Betula occidentalis	2	
Paper birch	Betula papyrifera	2	
Silver birch	Betula pendula	2	
White birch	Betula pubescens	2	
Palymra palm	Borassus	2	
Illawarra Flame Tree	Brachychiton acerifolius	2	
Mexican blue palm	Brahea armata	2	
Little gooseberry tree	Buchanania arborescens	2	
Beautyberry	Callicarpa	2	
American beautyberry	Callicarpa americana	2	
Cape chestnut	Calodendrum capense	2	
Camellia	Camellia	2	
Japanese camellia	Camellia japonica	2	
	Campomanesia	2	
	Carissa	2	
Scrub Hickory	Carya floridana	2	
Pignut hickory	Carya glabra	2	
Mockernut hickory	Carya tomentosa	2	
Dwarf chestnut	Castanea pumila	2	
Silk floss tree	Ceiba speciosa	2	
Chinese hackberry	Celtis sinensis	2	
Redbud	Cercis	2	
	Chamaedorea	2	
Dwarf fan palm	Chamaerops humilis	2	
Cocoplum	Chrysobalanus icaco	2	
Pigeon plum	Coccoloba diversifolia	2	
	Coffea	2	
Broad-leaved palm lily	Cordyline petiolaris	2	
Dogwood	Cornus	2	
Hazel	Corylus	2	
American hazel	Corylus americana	2	
Grand rapids hawthorn	Crataegus ambitiosa	2	
Lavalle hawthorn	Crataegus lavallei 	2	
Washington Hawthorn	Crataegus phaenopyrum	2	
Coast canthium	Cyclophyllum coprosmoides	2	
Sherbet tree	Dialium schlechteri	2	
Persimmon	Diospyros duclouxii	2	
Blue marble tree	Elaeocarpus angustifolius	2	
	Euterpe	2	
Cherry ballart	Exocarpos cupressiformis	2	
Fig	Ficus	2	
Weeping Fig	Ficus benjamina	2	
Weeping Fig	Ficus nitida	2	
Port jackson fig	Ficus rubiginosa	2	
	Flacourtia	2	
Wild quince	Guioa semiglauca	2	
African mango	Irvingia	2	
Southern california walnut	Juglans californica	2	
Arizona Black Walnut	Juglans major	2	
Juniper	Juniperus	2	
One-seed juniper	Juniperus monosperma	2	
Western juniper	Juniperus occidentalis	2	
Utah juniper	Juniperus osteosperma	2	
Eastern red-cedar	Juniperus verginiana	2	mis
Eastern red-cedar	Juniperus virginiana	2	
Lemon-scented teatree	Leptospermum petersonii 	2	
Beard-heath	Leucopogon	2	
Walking stick palm	Linospadix monostachya	2	
Cabbage-tree palm	Livistona australis	2	
Crabapple	Malus	2	
Japanese flowering crabapple	Malus floribunda	2	
Prairie crabapple	Malus ioensis	2	
Midget crabapple	Malus micromalus	2	
